date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-13 09:23:55,HemandraC,,0,0,1,"India-China border: Differences will be settled through dialogue, says Army Chief | India News,The Indian Express ",,,,1271735038049005568,https://twitter.com/HemandraC/status/1271735038049005568
2020-06-13 09:21:51,ddnews_jammu,,0,0,3,"Army Chief General MM Naravane said entire situation along India China border is under control.He said both countries are having a series of talks which started with Corps Commander level talks &amp; has been followed up with meetings at local level b/w Commanders of equivalent ranks ",,,,1271734518919999488,https://twitter.com/ddnews_jammu/status/1271734518919999488
2020-06-13 09:21:11,revoiindia,,0,0,0,"ભારત-ચીન સીમા વિવાદ પર આર્મી ચીફ એ આપ્યું આ નિવેદન Know more: https://www.revoi.in/india-china-border-dispute-army-chief-m-m-narvane-talks-about-relationship-with-china/ #IndiaChinaFaceOff #IndiaChinaBorder #MMNaravane #ArmyChief #IndianArmy #JammuAndKashmir #JammuKashmir #LadakhTension #LadakhBorder #LadakhStandoff #India #China #ChineseArmy #Nepal #politics",,,#IndiaChinaFaceOff #IndiaChinaBorder #MMNaravane #ArmyChief #IndianArmy #JammuAndKashmir #JammuKashmir #LadakhTension #LadakhBorder #LadakhStandoff #India #China #ChineseArmy #Nepal #politics,1271734349205958665,https://twitter.com/revoiindia/status/1271734349205958665
2020-06-13 09:20:57,HIMESH_SS,,2,0,1,"India's border agreement was signed betn British India&kingdom of #Tibet with McMahon line as d border,same line serves as border fr China Buthan India China accepted MaMahon in case of Bhutan But, After illegally occupieng Tibet it started artificial disputes along Ladakh",,,#Tibet,1271734293132308482,https://twitter.com/HIMESH_SS/status/1271734293132308482
2020-06-13 09:20:28,DR_VERMA1994,sucherita_k,0,0,0,"India - China faceoff actual border conditions....Reveal the truth with facts",,,,1271734170406928385,https://twitter.com/DR_VERMA1994/status/1271734170406928385
2020-06-13 09:18:15,india_roundup,,0,0,0,"#Business #Headlines presented by India RoundUp , a #weekly #news #bulletin , curated for the Global Indian diaspora and all professionals . Watch the 2nd episode https://youtu.be/fEHrWgG1RLU @s&amp;p #covid19 #India #china #tds ##financeminister",,@s,#Business #Headlines #weekly #news #bulletin #covid19 #India #china #tds #financeminister,1271733614204444672,https://twitter.com/india_roundup/status/1271733614204444672
2020-06-13 09:17:53,Justbwc,vivamjm,2,2,9,"Oh yeh-now they number crunch, the UK is peripheral. As India, China and Japan have tried to explain. This is not just an economic disaster but a social delusional piss take. Thx Tories, Thx..any other b@stard that could have mitigated this.",,,,1271733521455951873,https://twitter.com/Justbwc/status/1271733521455951873
2020-06-13 09:16:10,madanrawatseo,ashutosh83B,0,0,0,"Ye hamare kaalutosh h jab India Pakistan ki ladai ho to ye Pakistan ki taraf ho jaate h or jab India China ki ho to China ki side",,,,1271733085944467457,https://twitter.com/madanrawatseo/status/1271733085944467457
2020-06-13 09:15:37,WGlobalpost,,0,0,1,"I want to know whole story of india-china on Ladakh currently in short » WHA GLOBALPOST ",,,,1271732949642182657,https://twitter.com/WGlobalpost/status/1271732949642182657
2020-06-13 09:15:00,timesofindia,,37,35,216,"Everything is under control: Army chief on India-China border row READ: http://toi.in/qvjoqZ75/a24gk",,,,1271732793198837761,https://twitter.com/timesofindia/status/1271732793198837761
